wav_filename,transcript
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0001.wav,y eso se para mí se se puede reducir en qué en un des pertar de la conciencia humana gracias
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0002.wav,bueno e les voy a platicar una una historia y ella es yamila
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0003.wav,si les ponen a una mujer así enfrente y les dicen enséñale a leer y a escribir
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0004.wav,chin para empezar digo pus no le veo ni más que las manos y los ojos no y después
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0005.wav,digo pus no tengo nada en común ni cultura ni e idioma este
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0006.wav,absolutmente nada excepto que somos mujeres no somos seres humanos y entonces
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0007.wav,me ponen enfrente de ella en un en ese entonces estaba yo trabajando en una organización internacional
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0008.wav,e donde había muchos refugiados y ella es una de las refugiadas que estaba en el campo y es de afganistan
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0009.wav,y entonces me ponen en un grupo de afganas y yo como la maestra no
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0010.wav,cuando me doy cuenta y me enfrento que pues no sabia absolutamente nada y todo lo que había aprendido
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0011.wav,y lo que hago es empezar a llevar una fotografía de mi familia dij bueno pus
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0012.wav,les voy a mostrar quienes son entonces le enseño a mi mamá a mi papá a mi hermana a mis sobrinos no
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0013.wav,y al día siguiente llega ella con una fotografía de su familia no
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0014.wav,pero era una comunicación mucho más profunda y mucho más humana
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0015.wav,no era una comunicación verbal era una comunicación en otro nivel
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0016.wav,entonces qué pasó con yamila después de dos años
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0017.wav,de haber estado con ella me di cuenta de de que la maestra era ella y la alumna
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0018.wav,era yo me estaba enseñando a cocinar me llevaba platillos típicos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0019.wav,me di cuenta realmente de esa capacidad de lo que ella había vivido y esa capacidad humana de como se había levantado
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0020.wav,de donde estaba y como generó y cambio su entorno en torno a e los problemas que ella había vivido en torno a la guerra
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0021.wav,cuando yo me entero de todo esto y me ccae el veinte y cambio ese paradigma de que yo era la alumna y ella era la maestra
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0022.wav,también me percato de que hay muchísima gente resiliente
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0023.wav,que se cae y se vuelve a levantar y se vuelve a levantar y se veulve a levantar así como todas las historias de hoy en la noche
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0024.wav,y esa resilencia es una capacidad humana única que tenemos todos nosotros
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0025.wav,pero si la tenemos y todas las historias de hoy en la noche y yamila nos han mostrado una y otra vez que todos somos resilientes
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0026.wav,y todos podemos volvernos a levantar y de una manera mucho más fuerte quiero también
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0027.wav,decirles que cuando llegué a méxico después de estar muchos años con esa experiencia
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0028.wav,me contacta un empresario de aquí de jalisco una persona sumamente resiliente también que venia de una problematica e institucional muy fuerte
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0029.wav,y me dice sabes que no me voy a dar por vencido y quiero quiero hacer la diferencia en jalisco quiero hacer algo
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0030.wav,y me me pide hacer dos cosas una hacer un diagnostico un análisis de cual es la problemática como nos encontramos hoy en día y otra
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0031.wav,crear un modelo o un una respuesta a esa problemática de probreza y de violencia que eran las dos cosas que mas le le
